X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB;;;;;;;;;;
1745153,5921012,671000,,513632,0,,0,1,,West,2008,SH 16,LINCOLN OFF WBD,,Non-Injury Crash,Yes,2008,,West,,0,,Hill Road,,,,,,Overcast,228701,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,100,,On,0,0,,76,Auckland,Nil,,,,,0,0,Open,1,,,Mist or Fog,Null;;;;;;;;;;
1408196,4916175,671001,,604620,0,0,0,1,0,North,2018,PORTOBELLO ROAD,BURNS POINT,,Non-Injury Crash,No,2017,0,West,0,0,0,Flat,0,,0,,0,Bright sun,2937800,0,0,0,2,0,0,0,0,0,,0,1,Otago Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,71,Dunedin City,Unknown,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null;;;;;;;;;;
1761152,5914337,671002,,520202,0,0,0,0,0,West,2006,GT SOUTH LINK,GREAT SOUTH ROAD,,Non-Injury Crash,Yes,2006,0,South,0,0,0,Flat,0,,0,,1,Overcast,612200,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Motorway ramp,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,76,Auckland,Unknown,0,1,0,0,1,0,Urban,0,0,0,Fine,Null;;;;;;;;;;
1885135,5772655,671003,,540600,0,,0,2,,Null,2006,FENTON ST,ROBERTSON ST,,Non-Injury Crash,No,2006,,South,,0,,Flat,,,,,,Dark,1243100,0,0,0,4,,,0,,,,,,Bay of Plenty Region,Nil,2-way,Sealed,,0,0,,60,,On,0,1,,24,Rotorua District,Give way,,,,,0,0,Urban,0,,,Fine,Null;;;;;;;;;;
1769401,5911428,671004,,523113,0,,0,2,,Null,2006,TI RAKAU DRIVE,GREENMOUNT DRIVE,,Non-Injury Crash,No,2005,,West,,0,,Flat,,,,,,Overcast,711703,0,0,0,6,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null;;;;;;;;;;
1766906,5907864,671005,,523501,0,0,0,2,0,East,2014,HAYMAN ST,BAIRDS ROAD,,Non-Injury Crash,No,2014,0,West,0,0,0,Flat,0,,0,,0,Dark,700602,0,0,0,2,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null;;;;;;;;;;
1757448,5918735,671006,,514302,0,,0,2,,South,2011,SH 1N,GRAFTON OBR,,Non-Injury Crash,Yes,2011,,North,,0,,Hill Road,,,,,,Dark,442500,0,0,0,3,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,80,,On,0,0,,76,Auckland,Nil,,,,,0,0,Open,0,,,Fine,Null;;;;;;;;;;
1761366,5907048,671007,,524520,0,0,0,1,0,Null,2010,ROBERTSON ROAD,ASHLEY AVENUE,,Non-Injury Crash,No,2010,0,West,0,0,0,Flat,0,Easter,0,,0,Dark,735800,0,0,0,2,0,0,0,0,0,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Give way,0,0,0,0,0,0,Urban,0,0,0,Fine,Null;;;;;;;;;;
1756833,5918564,671008,,515600,0,,0,2,,West,2006,NEW NORTH ROAD,FLOWER ST,,Non-Injury Crash,No,2006,,West,,0,,Hill Road,,,,,,Unknown,421000,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null;;;;;;;;;;
1822787,5527484,671009,,563102,0,,0,1,,Null,2017,FITZHERBERT AVENUE,FITZHERBERT BR,,Non-Injury Crash,No,2016,,South,,0,,Flat,,,,,,Bright sun,1813500,0,0,0,4,,,0,,,,,,Manawatu-Wanganui Region,Bridge,2-way,Sealed,,0,0,,50,,Null,0,0,,40,Palmerston North City,Unknown,,,,,1,0,Urban,0,,,Fine,Null;;;;;;;;;;
